Index,Tag,Atag,Btag,pIC50_MMP12,Smiles,A_SortMax,B_SortMax,Final QC Purity,Generation-No
1,A01B01,A01,B01,6.5,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3,7,12,>98,Gen-5
2,A01B02,A01,B02,6.8,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(Br)cc3,7,5,>98,Gen-3
3,A01B03,A01,B03,Assay Failed,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)N(=O)=O,7,16,>98,
4,A01B04,A01,B04,7.1,Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,9,>98,
5,A01B05,A01,B05,5.1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5oc34,7,32,>98,
6,A01B06,A01,B06,5.4,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4Sc5ccccc5Sc34,7,37,>98,
7,A01B07,A01,B07,7.6,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,1,>98,
8,A01B08,A01,B08,5,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)C(F)(F)F,7,33,>98,
9,A01B09,A01,B09,4.1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3N(=O)=O,7,23,>98,
10,A01B10,A01,B10,5.6,Cc1ccc(cc1N(=O)=O)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,22,>98,Gen-4
11,A01B11,A01,B11,6.4,CC(=O)Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,17,96,Gen-2
12,A01B12,A01,B12,6,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(F)c3,7,18,>98,
13,A01B13,A01,B13,Inactive,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,44,>98,
14,A01B14,A01,B14,4.6,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Cl,7,26,>98,
15,A01B15,A01,B15,5.7,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3F,7,20,>98,
16,A01B16,A01,B16,3.8,CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,29,96,
17,A01B17,A01,B17,6.4,OCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,14,>98,
18,A01B18,A01,B18,7.6,CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,3,>98,Gen-1
19,A01B19,A01,B19,7.5,CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,4,>98,Gen-3
20,A01B20,A01,B20,7,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(OCc4ccccc4)c(F)c3,7,6,>98,
21,A01B21,A01,B21,5.7,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Oc4ccccc4,7,34,94,
22,A01B22,A01,B22,4.8,Cc1cccc(C)c1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,42,92,
23,A01B23,A01,B23,6.1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc4OCOc4c3,7,15,>98,Gen-6
24,A01B24,A01,B24,5.2,COc1ccc(c(OC)c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,38,97,
25,A01B25,A01,B25,7.4,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(OC(F)(F)F)cc3,7,2,>98,
26,A01B26,A01,B26,Not Made,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3c(F)c(F)c(F)c(F)c3F,7,50,0,
27,A01B27,A01,B27,7,CC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,8,>98,Gen-2
28,A01B28,A01,B28,4.8,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(Cl)c3Cl,7,45,>98,
29,A01B29,A01,B29,4.2,OC(=O)/C=C/c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,35,>98,
